[2018-09-11 14:54:26.285] 603,ax,ay,az,gx,gy,gz,mx,my,mz,q0,q1,q2,q3,yaw,pitch,roll
[2018-09-11 14:57:51.592] ,115.72,144.53,828.98,0.64,-3.99,-11.48,-1278.02,-980.65,-416.79,0.6,-0.01,-0.08,-0.8,-120.76,-6.47,6.14
[2018-09-11 14:57:52.146] ,65.43,85.57,931.15,-4.62,-0.97,-12.57,-1272.18,-1085.04,-127.71,0.63,0,-0.07,-0.77,-115.26,-5.34,6.36
[2018-09-11 14:57:52.695] ,28.32,65.92,905.52,2.38,-4.88,-3,-1274.37,-168.89,-502.2,0.64,0.01,-0.07,-0.77,-114.41,-4.65,6.97
[2018-09-11 14:57:53.239] ,34.79,111.45,919.07,2.68,-2.73,-2.3,-1272.91,-102.46,-296.34,0.68,0.01,-0.07,-0.73,-107.61,-4.78,7.1
[2018-09-11 14:57:53.788] ,43.21,6.84,898.32,-2.7,2.53,0.36,-1264.88,152.31,206.63,0.76,-0.02,-0.02,-0.65,-95.42,-3.16,0.05
[2018-09-11 14:57:54.329] ,15.01,-12.45,889.04,-1.69,-2.4,0.5,-1272.91,165.45,-264.22,0.76,-0.01,0,-0.65,-95.06,-1.27,-1.1
[2018-09-11 14:57:54.869] ,9.16,-18.92,890.63,-0.96,-0.95,0.5,-1274.37,165.45,-125.52,0.75,-0.01,0,-0.66,-96.01,-1.21,-1.12
[2018-09-11 14:57:55.414] ,31.01,-12.08,888.31,-0.98,-1.44,0.39,-1260.5,155.23,-172.97,0.75,-0.01,0,-0.66,-96.22,-1.3,-1.02
[2018-09-11 14:57:55.959] ,14.65,-11.6,892.33,-1.08,-1.32,0.48,-1271.45,163.99,-161.29,0.75,-0.01,0,-0.66,-96.26,-1.2,-0.99
[2018-09-11 14:57:56.504] ,29.79,-7.2,889.4,-1.27,-1.43,0.53,-1267.07,169.1,-171.51,0.75,-0.01,0,-0.66,-96.25,-1.28,-1.02
[2018-09-11 14:57:57.048] ,11.84,-11.35,886.35,-1.07,-1.37,0.45,-1269.99,161.07,-165.67,0.75,-0.01,0,-0.66,-96.25,-1.14,-1.07
[2018-09-11 14:57:57.589] ,24.41,-7.81,888.92,-1.01,-1.29,0.47,-1271.45,163.26,-158.37,0.75,-0.01,0,-0.66,-96.25,-1.2,-1.05
[2018-09-11 14:57:58.137] ,9.28,-8.18,891.97,-1.22,-1.36,0.53,-1259.77,168.37,-164.94,0.75,-0.01,0,-0.66,-96.24,-1.26,-1.05
[2018-09-11 14:57:58.678] ,22.46,-9.64,889.4,-1.1,-1.52,0.54,-1269.99,169.83,-180.27,0.75,-0.01,0,-0.66,-96.3,-1.29,-1.03
[2018-09-11 14:57:59.223] ,31.62,-5.49,885.5,-1.19,-1.41,0.69,-1266.34,184.43,-170.05,0.75,-0.02,0,-0.66,-96.25,-1.5,-1
[2018-09-11 14:57:59.774] ,16.48,-11.35,884.52,-1.07,-1.24,0.53,-1261.96,169.1,-153.26,0.75,-0.01,0,-0.66,-96.28,-1.35,-1.05
[2018-09-11 14:58:00.316] ,13.67,-10.25,891.24,-1.03,-1.32,0.56,-1275.83,171.29,-161.29,0.75,-0.01,0,-0.66,-96.25,-1.07,-1.06
[2018-09-11 14:58:00.865] ,37.23,-6.71,889.16,-1.19,-1.33,0.46,-1263.42,161.8,-162.02,0.75,-0.01,0,-0.66,-96.29,-1.13,-1.09
[2018-09-11 14:58:01.406] ,8.42,-13.31,890.87,-1.08,-1.24,0.5,-1267.8,166.18,-153.99,0.75,-0.01,0,-0.66,-96.31,-1.14,-1.04
[2018-09-11 14:58:01.958] ,25.63,-11.6,887.7,-1.11,-1.43,0.55,-1266.34,170.56,-171.51,0.75,-0.01,0,-0.66,-96.25,-1.2,-1.06
[2018-09-11 14:58:02.507] ,9.28,-13.31,888.43,-1.16,-1.32,0.47,-1272.18,162.53,-161.29,0.75,-0.01,0,-0.66,-96.24,-1.29,-0.98
[2018-09-11 14:58:06.781] ,24.17,-6.23,891.11,-1.09,-1.24,0.62,-1276.56,177.13,-153.26,0.75,-0.01,0,-0.66,-96.3,-1.36,-0.99
[2018-09-11 14:58:06.781] ,33.57,-4.52,882.93,-1.15,-1.34,0.55,-1267.07,170.56,-163.48,0.75,-0.01,0,-0.66,-96.31,-1.4,-0.96
[2018-09-11 14:58:06.781] ,4.64,-16.97,878.05,-1.06,-1.27,0.55,-1264.15,170.56,-156.18,0.75,-0.01,0,-0.66,-96.33,-1.11,-1.06
[2018-09-11 14:58:06.781] ,7.45,-12.08,888.92,-1.17,-1.29,0.45,-1260.5,161.07,-158.37,0.75,-0.01,0,-0.66,-96.28,-1.16,-1.06
[2018-09-11 14:58:06.781] ,21.48,-10.86,885.74,-1.11,-1.36,0.48,-1270.72,163.99,-164.94,0.75,-0.01,0,-0.66,-96.24,-1.23,-1.04
[2018-09-11 14:58:06.781] ,35.77,-12.57,884.89,-1.13,-1.3,0.48,-1277.29,163.99,-159.83,0.75,-0.01,0,-0.66,-96.26,-1.21,-1.03
[2018-09-11 14:58:06.781] ,6.96,-14.77,890.38,-1.07,-1.36,0.53,-1263.42,169.1,-164.94,0.75,-0.01,0,-0.66,-96.29,-1.25,-1
[2018-09-11 14:58:06.865] ,12.33,-13.06,889.04,-1.11,-1.42,0.57,-1250.28,172.75,-170.78,0.75,-0.01,0,-0.66,-96.25,-1.34,-1
[2018-09-11 14:58:07.413] ,13.55,-14.4,890.38,-1.13,-1.29,0.56,-1265.61,171.29,-158.37,0.75,-0.01,0,-0.66,-96.25,-1.44,-1.01
[2018-09-11 14:58:07.956] ,-3.3,-19.9,886.35,-1.14,-1.37,0.47,-1265.61,162.53,-165.67,0.75,-0.01,0,-0.66,-96.29,-1.2,-1.07
[2018-09-11 14:58:08.505] ,-2.69,-18.92,882.32,-1.12,-1.37,0.61,-1267.8,176.4,-165.67,0.75,-0.01,0,-0.66,-96.29,-1.14,-1.03
[2018-09-11 14:58:09.046] ,27.83,-7.93,885.86,-1.18,-1.36,0.44,-1279.48,160.34,-164.94,0.75,-0.01,0,-0.66,-96.22,-1.34,-1.01
[2018-09-11 14:58:09.593] ,10.74,-18.92,885.74,-1.09,-1.37,0.55,-1277.29,170.56,-166.4,0.75,-0.01,0,-0.66,-96.28,-1.28,-1.04
[2018-09-11 14:58:10.142] ,25.27,-9.64,882.2,-1.05,-1.3,0.5,-1272.91,165.45,-159.83,0.75,-0.01,0,-0.66,-96.29,-1.34,-0.98
[2018-09-11 14:58:10.687] ,32.23,-5.62,888.31,-1.11,-1.37,0.6,-1265.61,174.94,-165.67,0.75,-0.01,0,-0.66,-96.3,-1.32,-1
[2018-09-11 14:58:11.238] ,15.5,-5.98,896.61,-1.08,-1.45,0.5,-1272.18,166.18,-173.7,0.75,-0.01,0,-0.66,-96.27,-1.23,-1.03
[2018-09-11 14:58:11.782] ,-7.08,-20.87,894.65,-1.14,-1.27,0.41,-1272.18,157.42,-156.18,0.75,-0.01,0,-0.66,-96.3,-1.27,-0.99
[2018-09-11 14:58:12.330] ,17.82,-20.87,881.71,-1.15,-1.28,0.5,-1272.91,165.45,-157.64,0.75,-0.01,0,-0.66,-96.25,-1.19,-1.09
[2018-09-11 14:58:12.879] ,-2.56,-12.82,880.13,-1.02,-1.24,0.47,-1268.53,162.53,-153.99,0.75,-0.01,0,-0.66,-96.29,-1.34,-1.02
[2018-09-11 14:58:13.423] ,14.16,-7.2,886.84,-1.12,-1.4,0.55,-1267.8,170.56,-168.59,0.75,-0.01,0,-0.66,-96.25,-1.33,-1.06
[2018-09-11 14:58:13.972] ,-6.47,-22.95,889.4,-1.09,-1.3,0.52,-1262.69,167.64,-159.83,0.75,-0.01,0,-0.66,-96.29,-1.34,-1.06
[2018-09-11 14:58:14.521] ,-5.62,-22.46,890.75,-1.05,-1.21,0.58,-1266.34,173.48,-150.34,0.75,-0.01,0,-0.66,-96.27,-1.38,-0.97
